sentence1,sentence2,score
"['one', 'man', 'orange', 'shirt', 'wearing', 'white', 'helmet', 'riding', 'bike']","['man', 'wearing', 'blue', 'helmet', 'riding', 'polaris']",2.8
"['little', 'boy', 'standing', 'front', 'wedding', 'party', 'laughing']","['person', 'standing', 'stage', 'front', 'seated', 'crowd']",1.8
"['person', 'snowmobile']","['person', 'snowmobile', 'mid', 'jump']",3.6
"['man', 'standing', 'shore', 'hitting', 'ball', 'paddle']","['two', 'teenage', 'girls', 'standing', 'beside', 'beach', 'listening', 'ipods']",0.8
"['top', 'photo', 'shows', 'two', 'men', 'taking', 'break']","['person', 'swim', 'cap', 'goggles', 'taking', 'breath']",0.4
"['two', 'brown', 'dogs', 'running', 'together', 'sand']","['two', 'brown', 'dogs', 'running', 'sand']",4.6
"['black', 'dog', 'chasing', 'red', 'frisbee']","['black', 'poodle', 'running', 'snow']",1.4
"['two', 'girls', 'ponytails', 'ride', 'amusement', 'park', 'ride']","['young', 'girl', 'ride', 'amusement', 'park']",3.0
"['dog', 'digging', 'sand']","['brown', 'dog', 'digs', 'sand']",4.2
"['two', 'men', 'sit', 'sidewalk', 'front', 'stores']","['woman', 'bathing', 'suit', 'walks', 'dog', 'beach']",0.0
"['black', 'white', 'spotted', 'dog', 'jumps', 'stream']","['black', 'white', 'spotted', 'dog', 'jumping', 'small', 'stream', 'water']",4.6
"['person', 'bmx', 'bike']","['man', 'bike', 'midair']",3.0
"['two', 'dogs', 'running', 'tall', 'grass']","['two', 'dogs', 'running', 'grassy', 'area']",4.6
"['little', 'white', 'dog', 'wearing', 'leash', 'jumping', 'red', 'ball']","['black', 'white', 'dog', 'returns', 'stick', 'snow']",1.0
"['group', 'people', 'standing', 'outside', 'building']","['large', 'group', 'people', 'formed', 'line', 'outside']",3.2
"['group', 'four', 'children', 'dancing', 'backyard']","['group', 'children', 'stretches', 'colored', 'mats']",1.6
"['group', 'teenagers', 'jumping', 'air', 'beach']","['group', 'young', 'people', 'jump', 'air', 'beach']",4.8
"['boy', 'waves', 'around', 'sparkler']","['young', 'boy', 'twisting', 'sparkler', 'around', 'air']",4.4
"['several', 'people', 'sitting', 'around', 'fire', 'night']","['group', 'people', 'standing', 'sitting', 'around', 'ground', 'night']",2.6
"['two', 'different', 'breeds', 'brown', 'white', 'dogs', 'play', 'beach']","['two', 'dogs', 'playing', 'sand', 'beach']",4.0
"['one', 'man', 'two', 'women', 'dressed', 'vampire', 'costumes']","['man', 'two', 'women', 'dressed', 'costumes']",3.4
"['two', 'boys', 'one', 'wearing', 'hat', 'playground']","['boy', 'tan', 'hat', 'laughs', 'sitting', 'near', 'playground', 'equipment']",2.4
"['two', 'dogs', 'playing', 'snow']","['two', 'dogs', 'play', 'snow']",5.0
"['woman', 'holds', 'baby', 'man', 'looks', 'another', 'man', 'holding', 'child', 'watches']","['woman', 'stands', 'arms', 'store', 'another', 'woman', 'holds', 'camera']",0.4
"['white', 'fluffy', 'dog', 'running', 'pure', 'white', 'snow']","['fluffy', 'white', 'dog', 'running', 'snow']",4.6
"['woman', 'holding', 'newspaper']","['man', 'rollerblading', 'metal', 'bar']",0.0
"['group', 'men', 'playing', 'brass', 'instruments']","['group', 'guys', 'play', 'instruments', 'outside']",3.4
"['two', 'girls', 'shore', 'watch', 'people', 'boat', 'fish']","['two', 'males', 'one', 'red', 'one', 'white', 'playing', 'basketball', 'game']",0.0
"['snowboarder', 'jumps', 'air']","['snowboarder', 'flies', 'air']",4.0
"['white', 'dog', 'red', 'ears', 'running', 'snow']","['wet', 'black', 'dog', 'red', 'collar', 'river']",0.6000000000000001
"['little', 'girl', 'little', 'boy', 'hold', 'hands', 'shiny', 'slide']","['little', 'girl', 'paisley', 'dress', 'runs', 'across', 'sandy', 'playground']",0.4
"['kids', 'play', 'soccer', 'field']","['three', 'boys', 'playing', 'soccer', 'field']",4.2
"['man', 'jumps', 'one', 'rooftop', 'onto', 'another']","['young', 'man', 'jumps', 'one', 'balcony', 'another']",2.8
"['one', 'child', 'pulls', 'another', 'sitting', 'red', 'wagon', 'along', 'sand']","['young', 'boy', 'pulls', 'another', 'boy', 'wearing', 'silly', 'hat', 'radio', 'flyer', 'wagon']",3.4
"['owl', 'wings', 'widespread', 'day']","['bird', 'wings', 'spread', 'flies']",2.4
"['man', 'blue', 'cap', 'sitting', 'stool', 'tree']","['dog', 'standing', 'beach', 'ball', 'nearby']",0.0
"['woman', 'sings', 'microphone', 'guy', 'playing', 'guitar']","['woman', 'sings', 'microphone', 'guitar', 'player', 'background']",4.4
"['three', 'sheep', 'graze', 'grassy', 'field', 'dog', 'walking', 'behind']","['small', 'group', 'goats', 'grass', 'black', 'white', 'dog', 'backgroud']",2.8
"['cyclist', 'making', 'bike', 'jump', 'two', 'rocks']","['man', 'jumps', 'bicycle', 'air', 'two', 'rocks']",4.4
"['young', 'girl', 'pink', 'hat', 'yellow', 'building', 'background']","['young', 'girl', 'pink', 'dress', 'something', 'hand']",1.8
"['girl', 'pink', 'dress', 'rides', 'bike', 'along', 'white', 'picket', 'fence']","['girl', 'red', 'dress', 'rides', 'bike', 'front', 'white', 'fence']",4.0
"['brown', 'furry', 'animal', 'stands', 'behind', 'plants']","['dog', 'pants', 'standing', 'woods']",1.4
"['child', 'red', 'shirt', 'using', 'black', 'wake', 'board', 'splash', 'beach', 'wave']","['man', 'rowboat', 'rowing', 'across', 'blue', 'water']",1.0
"['tan', 'white', 'dog', 'running', 'field']","['brown', 'white', 'dogs', 'run', 'field']",3.4
"['two', 'teenage', 'girls', 'one', 'smiling']","['little', 'girl', 'kid', 'swing']",0.8
"['two', 'birds', 'interacting', 'grass']","['two', 'dogs', 'play', 'outdoors']",0.2
"['two', 'hikers', 'stand', 'top', 'snowy', 'mountain']","['two', 'mountain', 'climbers', 'stand', 'top', 'mountain', 'looking', 'around']",3.4
"['two', 'children', 'field', 'red', 'flowers']","['two', 'kids', 'playing', 'field', 'red', 'flowers']",4.8
"['young', 'men', 'jumps', 'rocks', 'lake']","['young', 'man', 'red', 'swimming', 'trunks', 'jumped', 'large', 'rock', 'water']",4.0
"['small', 'black', 'dog', 'grass']","['black', 'dog', 'running', 'grass']",3.6
"['lady', 'dressed', 'kimono', 'looking', 'camera']","['two', 'girls', 'dressed', 'black', 'sitting', 'room', 'making', 'suggestive', 'poses', 'camera']",1.0
"['group', 'people', 'firing', 'hot', 'air', 'balloon']","['large', 'group', 'people', 'riding', 'brown', 'white', 'horses']",0.0
"['children', 'play', 'fight', 'swords']","['child', 'parent', 'pet', 'horse']",0.0
"['man', 'wind', 'sailing', 'ocean']","['dog', 'running', 'ocean']",1.4
"['three', 'dogs', 'racing', 'dirt', 'track']","['cars', 'racing', 'dirt', 'track']",1.4
"['two', 'people', 'holding', 'hands', 'walking', 'field']","['two', 'men', 'walking', 'past', 'mural', 'car']",1.2
"['brown', 'dog', 'chases', 'frisbee']","['brown', 'dog', 'squating', 'grass']",1.6
"['woman', 'red', 'overalls', 'standing', 'sidewalk']","['woman', 'red', 'overalls', 'stands', 'sidewalk']",5.0
"['dog', 'running', 'backyard', 'full', 'leaves']","['three', 'dogs', 'run', 'field']",2.8
"['two', 'puppies', 'playing', 'around', 'grass']","['two', 'puppies', 'play', 'grass']",5.0
"['two', 'black', 'white', 'dogs', 'playing', 'together', 'outside']","['two', 'children', 'black', 'dog', 'playing', 'snow']",1.0
"['three', 'dogs', 'running', 'water']","['black', 'dog', 'running', 'water']",1.0
"['woman', 'sits', 'alone', 'brick', 'wall']","['woman', 'walking', 'red', 'bag']",1.2
"['brown', 'dog', 'carrying', 'stick', 'mouth']","['dog', 'swimming', 'stick', 'mouth']",2.6
"['young', 'woman', 'leans', 'plate', 'meal']","['young', 'woman', 'topless', 'except', 'paint', 'mud']",0.8
"['person', 'climbs', 'snowy', 'hill', 'dog', 'follows']","['person', 'climbs', 'snowy', 'hill', 'black', 'dog', 'follows']",3.8
"['brown', 'dog', 'sits', 'beach']","['dog', 'running', 'beach']",2.0
"['scuba', 'diver', 'submerged', 'water']","['scuba', 'diver', 'underwater']",5.0
"['man', 'riding', 'bike', 'dirt', 'hill']","['trick', 'bicyclist', 'grinds', 'handrail']",1.8
"['large', 'gray', 'dog', 'playing', 'deep', 'snow']","['four', 'dogs', 'playing', 'snow']",2.6
"['man', 'riding', 'bike', 'beach', 'ocean']","['man', 'walking', 'cow', 'side', 'road']",0.8
"['dog', 'car']","['dog', 'biting', 'mop']",1.0
"['dog', 'floppy', 'ears', 'walking', 'towards', 'camera', 'woods']","['child', 'front', 'reflection', 'turning', 'towards', 'camera', 'smiling']",1.2
"['brown', 'dog', 'splashing', 'water', 'everywhere', 'shaking', 'water']","['white', 'dog', 'standing', 'river', 'shaking', 'dry']",2.4
"['black', 'white', 'dog', 'running', 'beach']","['black', 'brown', 'dog', 'running', 'snow']",1.8
"['many', 'middle', 'eastern', 'people', 'sitting', 'back', 'blue', 'truck']","['group', 'people', 'riding', 'back', 'truck']",3.4
"['person', 'two', 'ski', 'poles', 'skiing', 'snowy', 'hill']","['person', 'skiing', 'snowy', 'hill']",4.2
"['woman', 'eating', 'fish', 'restaurant']","['woman', 'eating', 'large', 'fish', 'restaurant']",4.6
"['child', 'two', 'dogs', 'play', 'water']","['child', 'red', 'blue', 'floaties', 'looking', 'water']",2.2
"['skateboarder', 'trick', 'stone', 'wall']","['skateboarder', 'riding', 'slope']",2.2
"['people', 'standing', 'escalator', 'moving']","['people', 'ride', 'escalator']",4.6
"['lady', 'running', 'dog', 'agility', 'course']","['trainer', 'runs', 'dog', 'training', 'course', 'green', 'pipe']",4.2
"['white', 'brown', 'dog', 'shaking', 'ears']","['brown', 'dog', 'running', 'across', 'sand']",1.4
"['children', 'raising', 'hands', 'clapping']","['three', 'children', 'playing', 'soccer', 'sand']",0.2
"['man', 'blowing', 'large', 'bubble']","['man', 'walking', 'large', 'black', 'horse']",0.0
"['two', 'people', 'sit', 'dock', 'near', 'water']","['two', 'people', 'sit', 'end', 'dock', 'middle', 'still', 'water']",3.8
"['hockey', 'goalkeeper', 'laying', 'ice', 'front', 'net']","['hockey', 'player', 'laying', 'ice', 'front', 'goal']",4.6
"['skier', 'wearing', 'blue', 'snow', 'pants', 'flying', 'air', 'near', 'jump']","['skier', 'stands', 'hands', 'snow', 'front', 'movie', 'camera']",1.4
"['brown', 'dog', 'running', 'along', 'grassy', 'pathway']","['brown', 'dog', 'running', 'along', 'grassy', 'stretch', 'divided', 'strings']",3.4
"['girl', 'wearing', 'blue', 'striped', 'shirt', 'rollerblades']","['man', 'wearing', 'black', 'white', 'shirt', 'jumping', 'dogs', 'back']",0.0
"['tattooed', 'man', 'black', 'playing', 'white', 'guitar', 'singing']","['woman', 'black', 'white', 'coat', 'earmuffs']",0.0
"['dog', 'running', 'along', 'beach']","['boy', 'girl', 'running', 'along', 'beach']",1.4
"['young', 'man', 'woman', 'sitting', 'bench', 'outside', 'kissing']","['man', 'woman', 'sitting', 'bench', 'kissing']",4.6
"['brown', 'dog', 'jumping', 'catch', 'green', 'strap', 'mouth']","['grey', 'dog', 'jumps', 'bite', 'green', 'leash']",3.2
"['black', 'dog', 'running', 'grass']","['black', 'brown', 'dog', 'running', 'grass']",3.2
"['woman', 'sitting', 'sidewalk', 'cell', 'phone', 'ear']","['woman', 'riding', 'bicycle']",0.5
"['three', 'dogs', 'play', 'grassy', 'field']","['kids', 'play', 'field']",1.2
"['young', 'boy', 'plays', 'red', 'ball', 'pit']","['laughing', 'boy', 'lies', 'pit', 'blue', 'balls']",3.0
"['surfer', 'wave']","['surfer', 'riding', 'wave']",4.4
"['skateboarder', 'gets', 'top', 'ramp']","['skateboarder', 'rides', 'pipe', 'wall', 'skater', 'park']",2.4
"['two', 'men', 'running', 'contest']","['dogs', 'race']",1.0
"['two', 'kids', 'walking', 'path', 'woods']","['two', 'children', 'walking', 'path', 'woods']",5.0
"['brown', 'white', 'dog', 'running', 'grass']","['tan', 'black', 'dog', 'running', 'across', 'grass']",3.4
"['two', 'dogs', 'run', 'sidebyside', 'grass']","['two', 'dogs', 'running', 'grass']",4.4
"['two', 'dogs', 'peeing', 'red', 'fire', 'hydrant']","['two', 'dogs', 'urinating', 'red', 'fire', 'hydrant']",5.0
"['rugby', 'player', 'dark', 'gear', 'carrying', 'light', 'colored', 'rugby', 'ball', 'arm', 'outstretched']","['brown', 'dog', 'splashes', 'water', 'carrying', 'ball', 'mouth']",0.4
"['two', 'people', 'walking', 'water']","['two', 'girls', 'walking', 'tree', 'front', 'brick', 'building']",1.2
"['dog', 'splashing', 'water']","['dog', 'splashes', 'murky', 'water']",4.0
"['group', 'people', 'walking', 'sidewalk', 'big', 'city']","['group', 'people', 'riding', 'back', 'truck']",1.0
"['dog', 'air', 'grass']","['dog', 'laying', 'bed', 'blue', 'sheet']",1.0
"['black', 'dog', 'running', 'water']","['man', 'football', 'uniform', 'running', 'football', 'game']",0.0
"['girl', 'stands', 'subway', 'waiting', 'something']","['girl', 'stands', 'dimly', 'lit', 'area']",2.0
"['man', 'sitting', 'little', 'girl', 'park']","['man', 'playing', 'shaggy', 'little', 'dog']",0.6000000000000001
"['large', 'tan', 'dog', 'running', 'green', 'item', 'mouth']","['tan', 'dog', 'carrying', 'green', 'squeak', 'toy', 'mouth']",4.4
"['group', 'people', 'boats', 'racing', 'towards', 'shore']","['classroom', 'students', 'watching', 'presentation']",0.0
"['person', 'riding', 'skateboard', 'air', 'ramp']","['biker', 'riding', 'along', 'track', 'element', 'located', 'wooded', 'area']",0.6000000000000001
"['boy', 'skateboards', 'metal', 'handrail', 'night']","['brown', 'dog', 'runs', 'sand', 'holding', 'stick']",0.0
"['person', 'squeezing', 'opening', 'rock', 'face']","['medium', 'sized', 'brown', 'dog', 'running', 'open', 'white', 'wooded', 'area']",0.0
"['dog', 'running', 'towards', 'camera', 'ball', 'mouth']","['black', 'white', 'dog', 'swims', 'brown', 'object', 'mouth']",2.0
"['young', 'girl', 'running', 'beach']","['little', 'girl', 'running', 'shore', 'beach']",4.2
"['baseball', 'player', 'throws', 'ball']","['basketball', 'player', 'holds', 'ball']",1.6
"['man', 'swinging', 'rope', 'water']","['man', 'maroon', 'bathing', 'suit', 'swings', 'rope', 'lake']",3.0
"['young', 'girl', 'dressed', 'minnie', 'mouse', 'outfit', 'older', 'woman', 'walking', 'sidewalk']","['man', 'wearing', 'white', 'suit', 'holding', 'newspaper', 'walking', 'streets']",1.0
"['testimonies', 'real', 'health', 'experts']","['also', 'whos', 'say', 'arent', 'testimonies', 'real', 'health', 'experts']",3.0
"['captain', 'gone']","['captain', 'came', 'back']",0.8
"['problem', 'simpler']","['problem', 'simple']",3.8
"['negative', 'reconnaissance', 'requirements']","['pacific', 'requirements']",1.0
"['dropping', 'asking', 'question', 'marx']","['moving', 'ask', 'question', 'beef']",0.4
"['go', 'figure', 'youre', 'asking', 'prove', 'negative']","['youre', 'asking', 'prove', 'negative']",4.6
"['ok', 'medical', 'use']","['ok', 'medical', 'use']",5.0
"['prices', 'everything', 'need', 'gone', 'due', 'inflation']","['prices', 'everything', 'ie', 'assets', 'gone']",2.0
"['war', 'middle', 'east']","['war', 'middle', 'east']",5.0
"['originally', 'posted', 'vienna', 'authoritarian']","['originally', 'posted', 'zaf', 'give']",0.6000000000000001
"['imagine', 'place', 'thats', 'white', 'black']","['imagine', 'place', 'men', 'women']",1.0
"['theres', 'chance', 'fair', 'trial']","['chance', 'fair', 'trial']",5.0
"['nirvana', 'different', 'oblivion']","['nirvana', 'oblivion']",3.6
"['britain', 'think', 'differently', 'americans']","['originally', 'posted', 'zaf', 'britain', 'think', 'differently', 'americans']",4.0
"['answer', 'yes', 'probably', 'straight']","['answer', 'yes', 'probably', 'straight']",3.1
"['whole', 'earth', 'combined', 'produces', 'enough', 'food', 'billion', 'people']","['produce', 'enough', 'billion']",2.2
"['btw', 'appropriate', 'deferments', 'time']","['appropriate', 'deferments', 'time', 'eh']",3.2
"['hey', 'blueeyes', 'hows', 'things', 'london']","['smooches', 'ran', 'hey', 'blueeyes', 'hows', 'things', 'london']",4.4
"['news', 'broadcasts', 'seen', 'call', 'white']","['seems', 'would', 'less', 'impact', 'didnt', 'call', 'white']",2.2
"['according', 'girlfriend', 'zimmerman']","['according', 'zimmerman']",2.4
"['parents', 'told', 'bad']","['teachers', 'told', 'bad']",2.8
"['nazi', 'slang', 'term', 'nswp']","['originally', 'posted', 'odins', 'eye', 'nazi', 'slang', 'term', 'nswp']",4.6
"['oppose', 'death', 'penalty']","['support', 'death', 'penalty']",1.0
"['well', 'whatever']","['well', 'whatever', 'youre', 'aware']",2.2
"['produce', 'nothing', 'eat', 'wear', 'live']","['think', 'things', 'cant', 'eat', 'wear', 'live']",2.2
"['dickshot', 'matt', 'holliday', 'owns']","['matt', 'holliday', 'owns', 'yall']",3.8
"['people', 'exploited', 'laws']","['people', 'bent', 'laws']",2.8
"['funny', 'thought', 'thing', 'math']","['thought', 'knew', 'math']",2.2
"['years', 'neener', 'neener', 'rights', 'use', 'lettuce']","['years', 'neener', 'neener', 'rights', 'hi', 'wiggies']",2.6
"['dont', 'prefix', 'suffix', 'everything', 'hate', 'jews']","['stop', 'prefixing', 'suffixing', 'everything', 'hate', 'jews']",3.0
"['wood', 'asked', 'treesome']","['wood', 'least', 'asked', 'threesome', 'question']",4.8
"['still', 'makes', 'sense']","['makes', 'sense']",1.4
"['expensive', 'homes']","['expensive', 'cars']",1.2
"['martin', 'said', 'following']","['zimmerman', 'replied']",0.8
"['although', 'satellite', 'intensity', 'estimates', 'tafb', 'sab']","['subjective', 'dvorak', 'intensity', 'estimates', 'tafb', 'sab', 'increased', 'kt']",2.0
"['fairies', 'dont', 'exist', 'fine']","['satyrs', 'dont', 'exist', 'fine']",1.2
"['wanna', 'know', 'find', 'curious']","['thats', 'find', 'curious']",2.8
"['compare', 'homo', 'sexuaity', 'developmental', 'disorder']","['compared', 'homo', 'phobia', 'developmental', 'disorder']",2.6
"['asked', 'conservatives', 'numbers', 'skewed', 'right']","['asked', 'progressives', 'numbers', 'would', 'skewed', 'left']",2.6
"['didnt', 'mention', 'pfa', 'one', 'post']","['didnt', 'mention', 'restraining', 'order', 'either']",0.8
"['ramblin', 'rose', 'nat', 'king', 'cole', 'vessels', 'filled', 'many', 'wonders']","['eye', 'tiger', 'vessels', 'filled', 'many', 'wonders']",2.4
"['year', 'prior']","['warmedc', 'year', 'prior']",3.0
"['still', 'love', 'show']","['holy', 'poo', 'poo', 'show']",1.0
"['vast', 'properties', 'protected', 'govt']","['great', 'wealth', 'protected', 'govt']",3.2
"['fundimental', 'difference', 'please']","['fundamental', 'difference']",4.6
"['exactly', 'germany', 'punished', 'stupidity', 'ww']","['exactly', 'punished']",1.4
"['z', 'stalked', 'shot']","['claimed', 'zimmerman', 'stalked', 'shot']",3.0
"['im', 'outraged', 'im', 'disappointed']","['god', 'bless', 'im', 'outraged', 'im', 'disappointed']",5.0
"['never', 'got', 'first', 'place']","['money', 'come', 'first', 'place']",0.8
"['freedom', 'speech', 'consequences']","['freedom', 'speech', 'consequences', 'free']",2.11111111111111
"['parents', 'told', 'bad']","['teachers', 'told', 'bad']",2.8
"['could', 'kill', 'one', 'person', 'save', 'four', 'would']","['would', 'kill', 'person', 'save', 'idea']",2.0
"['imposing', 'morals']","['imposing', 'law']",1.1
"['depends', 'define', 'extreme']","['depends', 'define', 'extreme']",5.0
"['least', 'mexico', 'presence', 'california']","['mexico', 'zero', 'claim', 'california']",1.2
"['yes', 'read', 'bible', 'learn', 'christianity']","['personally', 'would', 'read', 'bible', 'learn', 'christianity']",3.0
"['ah', 'ha', 'ha', 'ha', 'ha', 'ha']","['ha', 'ha', 'ha', 'ha', 'ha', 'ha']",4.5
"['thats', 'youre', 'yelling', 'refusing', 'answer', 'questions']","['still', 'refusing', 'answer', 'questions']",3.4
"['much', 'regulation', 'little']","['much', 'intervention', 'free', 'markets', 'little']",3.8
"['human', 'element', 'could', 'sign', 'lance', 'berkman', 'end', 'year', 'guess']","['could', 'sign', 'lance', 'berkman', 'end', 'year', 'guess']",4.0
"['book', 'thomas', 'left', 'canon']","['would', 'addition', 'jesus', 'words', 'left', 'canon']",2.6
"['mean', 'believe', 'word', 'mainstream', 'media']","['mean', 'believe', 'word', 'springhallconvert']",1.8
"['meant', 'explore']","['meant', 'move']",2.4
"['israel', 'doesnt', 'give', 'accept']","['israel', 'doesnt', 'giva', 'anybody', 'else', 'thinks']",3.4
"['vessels', 'filled', 'many', 'wonders']","['want', 'rock', 'roll', 'kiss', 'vessels', 'filled', 'many', 'wonders']",3.4
"['slutstamp', 'dear', 'friend', 'ohio', 'sent']","['dear', 'friend', 'ohio', 'sent']",3.6
"['yet', 'titanic', 'story', 'one', 'holds', 'scrutiny', 'evidence']","['new', 'study', 'shows', 'titanic', 'story', 'stand', 'scrutiny', 'imo']",1.6
"['really', 'make', 'mone', 'google', 'ad', 'sense']","['makes', 'money', 'google', 'ad', 'sense']",3.2
"['know', 'video', 'doesnt', 'show', 'gas', 'chamber']","['bottom', 'line', 'video', 'clip', 'doesnt', 'show', 'gas', 'chamber']",4.6
"['warm', 'maybe', 'record']","['warmer', 'almost', 'certainly', 'record']",4.4
"['bright', 'scatterbrained', 'becomes', 'treat', 'drugs']","['opinionated', 'stubborn', 'becomes', 'treat', 'drugs']",2.2
"['definition', 'life']","['whats', 'definition', 'nature']",1.2
"['could', 'lot', 'things']","['could', 'simple', 'mistake']",2.2
"['extortion', 'bribery', 'money', 'involved', 'hes', 'asking', 'money', 'vote']","['extortion', 'bribery', 'money', 'involved', 'class', 'e', 'felonies']",3.8
"['dr', 'neanders', 'revised', 'version']","['neanders', 'revised', 'version']",4.0
"['tell', 'feel']","['wait', 'see', 'goes']",2.2
"['atlantic', 'requirements']","['pacific', 'requirements']",0.8
"['remains', 'missile', 'pentagon']","['witnesses', 'missile', 'pentagon']",2.6
"['jane', 'wants', 'ask', 'helpful', 'party', 'guest', 'pay']","['cant', 'believe', 'asking', 'ask', 'helpful', 'party', 'guest', 'money']",2.2
"['woman', 'wants', 'birth', 'control', 'get']","['woman', 'wants', 'abortion', 'get', 'one']",1.6
"['legal', 'grow']","['yes', 'legal', 'grow']",2.6
"['pressing', 'one', 'english']","['pressing', 'one', 'send', 'tone']",1.8
"['whats', 'opinion', 'regarding', 'series']","['opinion', 'firefly', 'interim']",2.8
"['vessels', 'filled', 'many', 'wonders']","['chuck', 'close', 'vessels', 'filled', 'many', 'wonders']",3.6
['supporters'],"['definently', 'supporters']",2.0
"['okay', 'ultimate', 'sovereignty']","['thus', 'ultimate', 'sovereignty']",2.2
['answer'],['answer'],4.8
"['nazis', 'increases', 'longevity', 'handgun', 'permit', 'years']","['nazis', 'lowered', 'minimum', 'age', 'buy', 'firearm']",2.2
"['cant', 'without', 'help']","['cant', 'without']",3.6
"['healthy', 'person', 'needs', 'gambling']","['healthy', 'person', 'needs', 'sex']",1.4
"['said', 'wasnt', 'person', 'legal', 'sense']","['isnt', 'person', 'wtf']",2.0
"['see', 'obama', 'calling', 'regulation', 'reform']","['see', 'obama', 'calling', 'cut', 'cap', 'balance']",1.8
"['leprechauns', 'dont', 'exist', 'fine']","['elves', 'dont', 'exist', 'fine']",3.0
"['got', 'heine', 'coors', 'light', 'started', 'last', 'night', 'xanis']","['started', 'last', 'night', 'xanis']",2.0
"['iran', 'also', 'signed', 'npt', 'iaea']","['gotta', 'love', 'ek', 'factoid', 'iran', 'also', 'signed', 'npt', 'iaea']",4.2
"['gorgons', 'dont', 'exist', 'fine']","['satyrs', 'dont', 'exist', 'fine']",2.0
"['best', 'way', 'get', 'money', 'get', 'rid', 'lobby']","['best', 'way', 'turn', 'head', 'get', 'money']",3.0
"['years', 'neener', 'neener', 'rights', 'usually', 'get', 'pretty', 'decent', 'care']","['years', 'neener', 'neener', 'rights', 'crack', 'ups']",3.4
"['dutchy', 'anyone', 'heard', 'dutchy']","['nickfun', 'anyone', 'heard', 'dutchy']",3.6
"['commodity', 'expanded', 'valueform']","['elementary', 'commoditycapital', 'valueform']",3.6
['christian'],"['therefore', 'christian']",1.4
"['simple', 'fact', 'today']","['repeat', 'simple', 'fact', 'today']",4.0
"['morals', 'absolutely', 'nothing']","['morals', 'honesty', 'everything']",2.0
"['oh', 'youre', 'good', 'person']","['youre', 'bad', 'person']",1.8
"['fern', 'think', 'stories', 'like', 'stupid']","['wolf', 'think', 'stories', 'like', 'stupid']",3.6
"['cyclone', 'formation', 'expected', 'next', 'hours']","['tropical', 'cyclone', 'formation', 'expected']",3.4
"['understand', 'string', 'words', 'means']","['understand', 'word', 'led', 'implies']",1.2
"['freedom', 'religion']","['freedom', 'speech']",1.2
"['originally', 'posted', 'solinvictus', 'messahe', 'scriptures', 'oneness']","['originally', 'posted', 'solinvictus', 'ah']",2.4
"['long', 'obliteration', 'kid', 'return', 'school']","['long', 'obliteration', 'longer', 'bother', 'kid']",3.0
"['man', 'woman', 'different', 'yes']","['men', 'women', 'different', 'yes']",3.4
"['double', 'jeopardy', 'actually', 'enforces', 'jury', 'nullification']","['far', 'legality', 'goes', 'use', 'jury', 'nullification']",2.2
"['facilitator', 'show', 'smart', 'child']","['facilitator', 'dumb', 'child']",1.0
"['religious', 'fiction', 'isnt', 'redundant', 'repetetive']","['isnt', 'redundant', 'repetetive']",3.2
"['originally', 'posted', 'anabelle', 'whats', 'wrong']","['originally', 'posted', 'vienna', 'say']",0.0
"['cracklin', 'rosie', 'neil', 'diamond', 'vessels', 'filled', 'many', 'wonders']","['jingle', 'bell', 'rock', 'bobby', 'helm', 'vessels', 'filled', 'many', 'wonders']",1.6
"['people', 'complete', 'confidence', 'people', 'running', 'institutions']","['people', 'confidence', 'teh', 'people', 'running', 'institutions']",1.6
"['loose', 'change', 'started', 'work', 'fiction']","['finished', 'work', 'fiction']",2.2
"['wasnt', 'life', 'would', 'able', 'born']","['wasnt', 'alive', 'would', 'miscarriage']",3.0
"['gl', 'terral', 'absolutely', 'amazing']","['hi', 'ollie', 'absolutely', 'amazing']",2.4
"['lets', 'assume', 'white', 'black']","['imagine', 'place', 'thats', 'white', 'black']",3.77777777777778
"['freedom', 'speech', 'consequences']","['freedom', 'speech', 'consequences', 'free']",2.11111111111111
"['fairies', 'dont', 'exist', 'fine']","['leprechauns', 'dont', 'exist', 'fine']",1.0
"['state', 'theyre', 'true']","['please', 'true']",3.2
"['talking', 'anything']","['even', 'worse', 'talking', 'anything']",2.8
"['nukes', 'mean', 'wanting', 'use', 'nukes']","['using', 'nukes', 'means', 'wanting', 'use', 'nukes']",1.4
"['niece', 'married', 'black', 'man']","['great', 'niece', 'half', 'black']",1.4
"['uk', 'population', 'million']","['japanese', 'population', 'nearly', 'million']",1.0
"['shot', 'sheriff', 'vessels', 'filled', 'many', 'wonders']","['vessels', 'filled', 'many', 'wonders']",3.4
"['hope', 'nothing']","['hope', 'everything', 'ok']",2.0
"['money', 'spent', 'adopting', 'velociraptor']","['may', 'top', 'money', 'spent', 'adopting', 'velociraptor']",4.2
"['actually', 'believe', 'every', 'word', 'terral', 'wrote']","['gl', 'terral', 'hi', 'corn', 'actually', 'believe', 'every', 'word', 'terral', 'wrote']",4.2
"['isnt', 'sold']","['sold', 'gb']",1.6
"['know', 'id', 'hate']","['id', 'hate']",4.4
['weapons'],"['course', 'weapons']",4.6
"['stupid', 'true']","['amusing', 'think', 'even', 'might', 'true']",3.0
"['personal', 'responsibility', 'much']","['personal', 'responsibility']",4.4
"['notice', 'nonsensical', 'things', 'saying']","['fair', 'notice', 'nonsensical', 'things', 'saying']",4.57142857142857
"['guess', 'pulled', 'censuss', 'rear', 'end', 'top', 'hat']","['census', 'rear', 'end', 'top', 'hat']",2.6
